"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","16","14","26","67","89","104","107","158"
"A2","WT","35","22","63","47","189","144","89","110"
"A4","HOM","40","59","114","85","213","137","108","116"
"A5","WT","47","13","13","31","70","78","79","209"
"A6","HET","1964","1733","1265","742","715","1084","0","0"
"A7","HOM","29","67","70","148","231","204","211","200"
"A8","HOM","26","19","36","43","109","117","291","190"
"B2","WT","54","86","109","141","180","210","162","129"
"B3","HET","1102","621","579","315","320","571","725","792"
"B4","HOM","54","181","156","150","500","334","214","177"
"B5","WT","79","88","105","192","242","363","425","333"
"B6","HET","569","582","576","329","495","519","626","506"
"B7","HOM","125","87","116","157","431","399","878","180"
"C1","HOM","48","108","98","183","369","328","221","297"
"C2","WT","85","226","163","228","265","343","196","266"
"C3","HET","1531","863","616","171","175","251","403","519"
"C4","HOM","257","229","282","265","205","269","189","370"
"C5","WT","145","214","212","231","157","172","214","219"
"C6","HET","1807","1232","656","552","636","482","1571","0"
"C7","HOM","253","155","176","188","203","127","124","139"
"C8","WT","18","14","28","31","68","34","55","84"
"D1","WT","93","48","63","46","186","184","174","195"
"D2","WT","85","139","96","123","118","93","78","123"
"D3","HET","1375","949","654","421","346","430","625","633"
"D4","HOM","150","210","227","147","89","158","181","207"
"D5","WT","187","294","308","170","182","196","150","230"
"D6","HET","1","391","117","1","78","67","230","223"
"D7","HOM","126","128","211","250","397","468","676","246"
"D8","HOM","83","73","80","90","100","93","127","73"
"E2","WT","80","72","56","110","116","172","147","130"
"E4","HOM","81","183","207","261","530","435","702","1165"
"E5","WT","51","123","173","300","243","162","283","235"
"E6","HET","1057","716","781","976","892","962","1097","1081"
"E7","HOM","64","152","163","369","236","115","110","128"
"F1","HOM","20","46","58","58","110","66","100","115"
"F2","WT","20","32","20","38","69","122","229","130"
"F4","HOM","21","45","40","102","127","238","157","167"
"F5","WT","88","16","35","57","109","116","80","114"
"F6","HET","1922","1960","1508","1036","1356","0","0","0"
"F7","HOM","110","115","118","165","163","232","146","186"
"F8","WT","113","17","22","28","58","59","38","19"
