"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","15","14","26","75","87","106","107","121"
"A2","WT","34","22","63","48","200","143","89","109"
"A4","HOM","40","59","114","85","212","136","108","130"
"A5","WT","47","13","13","31","72","82","91","218"
"A6","HET","3786","4716","3452","1208","877","1549","0","0"
"A7","HOM","29","66","70","148","236","210","214","260"
"A8","HOM","26","19","36","43","109","117","400","189"
"B2","WT","54","86","112","142","213","238","210","185"
"B3","HET","2527","1049","640","410","375","941","898","984"
"B4","HOM","55","189","225","198","608","405","592","146"
"B5","WT","78","95","103","221","310","419","571","355"
"B6","HET","1435","1000","594","364","548","578","660","548"
"B7","HOM","125","87","116","156","587","365","184","162"
"C1","HOM","48","108","98","214","423","395","468","682"
"C2","WT","87","228","162","233","360","356","221","351"
"C3","HET","2480","1753","852","202","203","434","576","1700"
"C4","HOM","255","220","347","413","505","513","399","713"
"C5","WT","146","196","210","254","149","175","214","217"
"C6","HET","4126","3254","937","812","942","912","2781","0"
"C7","HOM","249","154","175","189","232","116","516","723"
"C8","WT","18","14","28","31","77","34","55","84"
"D1","WT","93","47","63","46","207","243","256","300"
"D2","WT","85","141","96","136","192","151","97","166"
"D3","HET","3325","1958","663","579","389","463","807","887"
"D4","HOM","157","212","284","146","81","140","162","197"
"D5","WT","185","291","316","157","174","199","151","226"
"D6","HET","1044","604","116","89","88","83","287","246"
"D7","HOM","125","130","204","251","766","917","170","215"
"D8","HOM","82","72","80","92","98","117","153","136"
"E2","WT","82","71","56","112","173","234","221","196"
"E4","HOM","82","197","215","302","422","447","685","1063"
"E5","WT","51","125","182","283","273","204","280","221"
"E6","HET","2477","982","898","1543","900","1307","1547","1386"
"E7","HOM","63","154","163","401","523","114","104","112"
"F1","HOM","19","45","58","59","115","69","135","137"
"F2","WT","19","32","19","38","69","135","232","149"
"F4","HOM","21","47","40","104","130","238","293","169"
"F5","WT","88","16","34","58","119","116","87","115"
"F6","HET","3759","4650","3221","2470","1548","0","0","0"
"F7","HOM","110","115","118","166","168","304","162","530"
"F8","WT","116","17","21","28","58","59","38","19"
