"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31"
"A1","WT","286.466666666667","287","235.230769230769","379.213333333333","304.896551724138","307.5","313.897196261682","240.776859504132"
"A2","WT","306.441176470588","289.727272727273","297.206349206349","353.75","280.835","338.237762237762","290.629213483146","280.165137614679"
"A4","HOM","360.45","364.491525423729","307.622807017544","330.070588235294","273.88679245283","308.933823529412","332.805555555556","262.153846153846"
"A5","WT","199.744680851064","242.230769230769","201.230769230769","246.032258064516","251.194444444444","161.841463414634","221.142857142857","163.454128440367"
"A6","HET","2.17274167987322","1.82421543681086","3.48580533024334","13.9023178807947","15.8779931584949","1.81923821820529","0","0"
"A7","HOM","253.896551724138","313.727272727273","268.657142857143","271.398648648649","230.817796610169","223.580952380952","216.81308411215","218.8"
"A8","HOM","226.307692307692","231.736842105263","206.805555555556","261.93023255814","245.770642201835","230.606837606838","87.8725","205.931216931217"
"B2","WT","297.962962962963","334.546511627907","326.723214285714","345.753521126761","397.239436619718","306.886554621849","270.095238095238","212.4"
"B3","HET","4.34190740007914","16.5395614871306","51.328125","55.5341463414634","71.944","33.6471838469713","28.9599109131403","28.6473577235772"
"B4","HOM","293.490909090909","231.544973544974","331.631111111111","318.868686868687","171.092105263158","170.528395061728","95.0456081081081","153.27397260274"
"B5","WT","202.025641025641","255.273684210526","245.155339805825","264.647058823529","227.296774193548","163.143198090692","133.735551663748","121.954929577465"
"B6","HET","9.41463414634146","16.85","58.3585858585859","75.9423076923077","72.007299270073","60.378892733564","41.519696969697","52.0875912408759"
"B7","HOM","193.464","235.931034482759","238.379310344828","219.987179487179","173.139693356048","180.131506849315","160.934782608696","102.765432098765"
"C1","HOM","372.1875","407.990740740741","441.948979591837","337.172897196262","210.940898345154","228.377215189873","180.893162393162","131.300586510264"
"C2","WT","295.954022988506","335.087719298246","341.858024691358","382.875536480687","382.838888888889","261","340.932126696833","240.358974358974"
"C3","HET","3.54072580645161","8.90131203650884","32.8086854460094","82.4356435643564","124.28078817734","51.963133640553","35.5885416666667","7.33941176470588"
"C4","HOM","236.21568627451","308.6","261.4265129683","498.760290556901","402.00198019802","303.24171539961","242.340852130326","106.395511921459"
"C5","WT","235.671232876712","259.836734693878","278.252380952381","225.216535433071","247.436241610738","217.331428571429","197.939252336449","154.253456221198"
"C6","HET","3.02569074163839","6.50092194222495","26.042689434365","24.0652709359606","19.8662420382166","11.7203947368421","2.8633585041352","0"
"C7","HOM","190.771084337349","310.909090909091","307.982857142857","323.634920634921","218.068965517241","200.681034482759","112.932170542636","68.1230982019364"
"C8","WT","236.166666666667","245.071428571429","284.5","307.645161290323","285.909090909091","249.088235294118","253.909090909091","225.285714285714"
"D1","WT","265.322580645161","356.042553191489","346.015873015873","306.326086956522","318.685990338164","236.621399176955","231.3125","183.9"
"D2","WT","225.4","264.390070921986","294.34375","318.551470588235","245.380208333333","253.708609271523","315.948453608247","288.132530120482"
"D3","HET","5.55368421052632","13.9908069458631","72.2488687782805","82.559585492228","122.611825192802","112.991360691145","63.905824039653","44.6155580608794"
"D4","HOM","248.394904458599","283.009433962264","344.355633802817","298.924657534247","215.160493827161","208.071428571429","202.895061728395","179.010152284264"
"D5","WT","225.524324324324","215.790378006873","200.050632911392","218.815286624204","198.431034482759","184.407035175879","163.761589403974","97.4070796460177"
"D6","HET","43.3659003831418","77.6705298013245","245.310344827586","269.584269662921","301.181818181818","276.686746987952","190.498257839721","158.142276422764"
"D7","HOM","223.592","253.246153846154","248.588235294118","260.772908366534","229.436031331593","153.482006543075","227.311764705882","134.111627906977"
"D8","HOM","307.40243902439","349.666666666667","260.8375","256.869565217391","255.530612244898","199.717948717949","171.712418300654","143.073529411765"
"E2","WT","142.768292682927","218.352112676056","245.982142857143","250.241071428571","224.57225433526","130.418803418803","174.135746606335","116.178571428571"
"E4","HOM","267.939024390244","263.48730964467","279.920930232558","232.649006622517","143.800947867299","153.534675615213","112.14598540146","83.8871119473189"
"E5","WT","194.235294117647","190.824","152.038461538462","124.363957597173","124.494505494505","148.147058823529","107.932142857143","106.547511312217"
"E6","HET","9.43157044812273","30.2260692464358","29.609131403118","21.7913156189242","29.2111111111111","24.583779648049","16.0045248868778","10.3975468975469"
"E7","HOM","231.269841269841","234.902597402597","278.294478527607","195.059850374065","278.959847036329","211.605263157895","188.576923076923","170.464285714286"
"F1","HOM","247.631578947368","316.622222222222","261.810344827586","332.28813559322","284.382608695652","263.68115942029","187.592592592593","237.678832116788"
"F2","WT","189.947368421053","229.84375","188.473684210526","236.552631578947","242.898550724638","305.6","216.254310344828","211"
"F4","HOM","288.142857142857","371.617021276596","325.125","283.067307692308","274.461538461538","210.890756302521","171.761092150171","210.331360946746"
"F5","WT","130.431818181818","179.4375","234.411764705882","216.862068965517","268.924369747899","193.448275862069","214.735632183908","181.591304347826"
"F6","HET","2.40170258047353","2.91634408602151","4.84725240608507","12.7145748987854","4.44832041343669","0","0","0"
"F7","HOM","269.281818181818","241.826086956522","327.830508474576","290.024096385542","290.488095238095","178.828947368421","246.765432098765","137.103773584906"
"F8","WT","206.810344827586","197.411764705882","200.666666666667","224.5","207.448275862069","235.084745762712","216.657894736842","182.894736842105"
