"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","49","147","103","67","105","95","74","45","44","47","63"
"A2","HOM","35","41","36","30","64","42","34","36","47","60","58"
"A3","WT","33","136","130","64","43","41","65","69","79","59","82"
"A4","HOM","124","102","119","138","99","115","80","153","73","82","230"
"A5","WT_G","132","161","115","53","9","121","141","121","114","127","66"
"A6","HOM_G","119","90","78","88","46","106","139","77","135","132","126"
"A7","WT_B","142","141","74","575","203","407","344","414","382","147","309"
"A8","HOM_B","103","42","45","729","170","383","710","630","748","557","425"
"B1","WT","80","112","171","65","73","62","64","328","121","129","152"
"B2","HOM","150","157","192","89","48","58","120","99","130","122","155"
"B3","WT","151","195","186","118","100","116","90","70","91","76","139"
"B4","HOM","161","167","207","122","131","175","174","95","125","175","176"
"B5","WT_G","145","316","210","48","0","7","33","35","371","76","160"
"B6","HOM_G","127","195","99","10","5","46","3","7","34","19","2"
"B7","WT_B","170","256","36","299","592","562","384","435","395","322","401"
"B8","HOM_B","141","138","62","513","182","415","598","810","496","188","444"
"C1","WT","113","146","221","91","63","67","59","79","220","92","209"
"C2","HOM","167","222","267","195","148","217","103","159","175","96","224"
"C3","WT","163","209","266","103","86","137","138","117","118","120","154"
"C4","HOM","139","222","155","96","149","158","126","171","212","151","254"
"C5","WT_G","69","281","204","39","9","23","17","112","234","14","264"
"C6","HOM_G","167","297","192","31","13","10","25","19","15","15","136"
"C7","WT_B","132","169","67","213","225","436","418","495","562","274","539"
"C8","HOM_B","137","137","28","537","330","621","386","577","546","409","391"
"D1","WT","101","231","154","67","71","139","109","194","304","208","461"
"D2","HOM","136","195","251","259","209","200","260","187","123","187","211"
"D3","WT","134","190","178","44","97","93","76","117","134","97","237"
"D4","HOM","158","200","152","79","139","118","113","158","136","90","194"
"D5","WT_G","152","275","167","4","14","65","14","191","254","193","217"
"D6","HOM_G","144","205","129","42","9","8","24","134","153","15","217"
"D7","WT_B","170","309","42","101","564","627","431","455","550","242","416"
"D8","HOM_B","155","135","60","503","264","281","690","715","492","662","580"
"E1","WT","123","160","89","70","42","45","70","92","262","115","66"
"E2","HOM","144","247","225","118","100","174","94","147","154","99","169"
"E3","WT","146","219","169","144","131","116","182","90","193","87","227"
"E4","HOM","162","291","151","162","113","192","155","204","117","159","161"
"E5","WT_G","149","188","165","32","1","10","15","79","66","163","76"
"E6","HOM_G","149","217","148","55","30","12","14","24","62","122","141"
"E7","WT_B","188","198","44","449","248","302","201","417","242","202","131"
"E8","HOM_B","103","122","60","514","375","515","547","641","672","299","392"
"F1","WT","126","167","174","79","195","54","190","196","238","72","270"
"F2","HOM","18","54","120","87","110","93","79","57","65","80","65"
"F3","WT","105","199","142","94","124","169","157","136","82","82","205"
"F4","HOM","95","66","152","103","89","180","142","70","68","86","91"
"F5","WT_G","46","152","81","60","13","52","138","114","121","133","57"
"F6","HOM_G","97","192","160","67","4","18","63","24","81","52","75"
"F7","WT_B","96","151","36","359","208","414","342","159","488","353","421"
"F8","HOM_B","131","121","27","406","143","323","257","523","660","327","386"
