"well","treatment","DIV17","DIV19","DIV21","DIV25","DIV27","DIV29","DIV31","DIV33","DIV35","DIV37","DIV39"
"A1","WT","0.800338000965717","0.940167136428819","0.938113078045014","0.982066448527561","0.971437964108911","0.99040986098444","0.831492242989023","0.984489436917508","0.984058672691735","0.966598050258282","0.984672668383872"
"A2","HOM","0.974382220982402","0.985153055875878","0.983284473497332","0.982909998056114","0.979657119143749","0.982729397689129","0.974711824449348","0.980299227564024","0.976687738109058","0.952223592272914","0.989598421395134"
"A3","WT","0.929075927015892","0.934765823928507","0.945553447610094","0.984696618520622","0.980806951293285","0.988146472584128","0.945377863588437","0.981668835077771","0.985307946477099","0.910275477207297","0.98428528483391"
"A4","HOM","0.868958801003565","0.887647571507804","0.922354210563818","0.991932298285989","0.96318887756499","0.947780813443992","0.962398925976408","0.988554031639896","0.962517672466575","0.838003757508402","0.996735939342102"
"A5","WT_G","0.946065802255353","0.937846524708718","0.938847708894879","0.944755105097609","0.967351874244256","0.98355754857997","0.998316266923235","0.995202028856369","0.957645553422905","0.987769520445229","0.99238230029555"
"A6","HOM_G","0.937466824547793","0.980746474363436","0.976349867157591","0.976843338923801","0.967231040988236","0.945770202821981","0.993091102346788","0.979424575882623","0.984202528992595","0.996498265049502","0.961529466791394"
"A7","WT_B","0.959330935410552","0.97531542806887","0.953115345641482","0.915430369918474","0.961759472084229","0.698124182056129","0.654892631847242","0.868115443237131","0.622530724796159","0.399799095931693","0.929421611882705"
"A8","HOM_B","0.983729033782188","0.997434340889047","0.9493351565447","0.946375032123583","0.971594718860755","0.972507056405891","0.891771578205257","0.936864089936312","0.898557009659572","0.910694284732904","0.921895121931213"
"B1","WT","0.853623958887117","0.885500375258562","0.842505686423174","0.908421105934778","0.917890762387504","0.927374557092239","0.942368662775193","0.994479637051999","0.989855286231706","0.71601689209866","0.984841741498023"
"B2","HOM","0.843293225259696","0.893997649017975","0.899434659708632","0.932839092069905","0.823596240575619","0.970849945108915","0.862001119153775","0.912835820895522","0.907895714179603","0.887466145881313","0.976724896743178"
"B3","WT","0.779897352046146","0.658499431994217","0.703418050046521","0.86378861183476","0.757408724513988","0.882870749892649","0.757029097633694","0.958228540185894","0.961631402133553","0.822151916612525","0.945209844323734"
"B4","HOM","0.93069044207398","0.799154305837157","0.867274896031465","0.928795824170513","0.790666074719834","0.829526368827679","0.792529651265711","0.962226129154972","0.991582476246003","0.837849300792516","0.95995082815735"
"B5","WT_G","0.829983540811832","0.903766187477724","0.768775872264932","0.948459221080905","0","0.983196666218578","0.994503774306884","0.964869064311972","0.95473027643209","0.859632929816465","0.543106811266287"
"B6","HOM_G","0.796997748311233","0.851449702978087","0.89674824723644","0.952415992151092","0.969512195121951","0.953965597651642","0.981916121585225","0.978193747587804","0.987496017840076","0.980856725899219","0.990825688073395"
"B7","WT_B","0.846389811504369","0.773791391073925","0.888649458940366","0.951635535875768","0.769294093434863","0.696284539355025","0.693054498701162","0.857875726325708","0.717426320142789","0.725481308814642","0.868661638819507"
"B8","HOM_B","0.986709647211367","0.965666729639168","0.920211421832884","0.956713192825079","0.972002441366272","0.951539955033986","0.928288908803423","0.880054977265226","0.954073431069959","0.988212690408827","0.957246858218458"
"C1","WT","0.878505774216356","0.802712343153054","0.864471465341262","0.940938168751359","0.925757491211428","0.976946673690081","0.938672569036649","0.920961767844811","0.977841886336745","0.907494819955127","0.986845827439887"
"C2","HOM","0.894119018929529","0.833018458870168","0.856322305114066","0.823542628375342","0.809921326046484","0.892476176930735","0.790772342308178","0.862939044006434","0.907894049422705","0.858692825028797","0.987592523563555"
