"A1","WT","15","30680","34.0699899667741","2.12937437292338","2.2713326644516","1.99935784478687","0.434791175633132","2.08190980876888","11"
"A2","HOM","15","37150","41.2548933267815","2.57843083292384","2.75032622178543","2.37643568897552","0.359997306666218","2.1847967149151","11"
"A3","WT","16","25859","28.7162930427253","1.79476831517033","1.79476831517033","1.75313537259582","0.551182775400689","2.81607247617127","11"
"A4","HOM","15","62747","69.6802366507553","4.35501479067221","4.64534911005035","2.31661831243944","0.214283186912421","1.02163179718416","11"
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"B1","WT","14","20513","22.7795861860638","1.42372413662899","1.62711329900456","1.98796949967462","0.580097228308698","3.03775316773993","11"
"B2","HOM","16","41519","46.1066464612286","2.88166540382679","2.88166540382679","3.04802061619851","0.334172225718382","1.415470009765","11"
"B3","WT","11","11577","12.8562018854414","0.80351261784009","1.16874562594922","1.13740207004412","0.837039998020059","3.24005758531725","11"
"B4","HOM","16","43022","47.7757206111654","2.98598253819784","2.98598253819784","2.59368289159835","0.329962683029577","2.00660970758035","11"
"B5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"B6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"B7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"B8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"C1","WT","13","51743","57.460348463194","3.59127177894962","4.42002680486107","4.75428734073824","0.21947147223236","1.23374602292625","11"
"C2","HOM","15","31779","35.2904240923766","2.20565150577354","2.35269493949177","2.56951266629008","0.418360991473996","2.17182655905887","11"
"C3","WT","15","34532","38.3476171294864","2.3967260705929","2.55650780863243","1.89123921108041","0.387618880493959","2.09811170495063","11"
"C4","HOM","16","26097","28.980590878843","1.81128692992769","1.81128692992769","2.31775334058394","0.54055340388252","2.58144613812574","11"
"C5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"C6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"C7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"C8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"D1","WT","14","25070","27.8401124011417","1.74000702507135","1.9885794572244","2.18811069369654","0.485001198059946","2.16420166506536","11"
"D2","HOM","15","38427","42.6729955819174","2.66706222386984","2.84486637212783","2.79067355423513","0.348275629395241","1.48568805307901","11"
"D3","WT","16","47499","52.7474072174642","3.29671295109151","3.29671295109151","2.77833483252236","0.299709231182318","1.26435074245307","11"
"D4","HOM","16","46812","51.9844970770739","3.24903106731712","3.24903106731712","1.98458571276178","0.296357169334772","1.84326763437597","11"
"D5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"D6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"D7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"D8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"E1","WT","13","13699","15.2126725083063","0.950792031769145","1.17020557756202","1.01878037831292","0.837110457163525","2.60779827089328","11"
"E2","HOM","16","53702","59.6358083831715","3.72723802394822","3.72723802394822","3.23514919627814","0.260201320106918","1.5170350161092","11"
"E3","WT","16","30300","33.6480018250735","2.10300011406709","2.10300011406709","2.14722896630263","0.459417767912759","2.07642730565239","11"
"E4","HOM","14","44496","49.4125904029198","3.08828690018249","3.5294707430657","2.61517176379306","0.281839618193202","1.34359963602495","11"
"E5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"E6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"E7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"E8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"F1","WT","13","13827","15.3548158823528","0.959675992647053","1.18113968325791","1.45456968414556","0.82877025574924","3.96057462799827","11"
"F2","HOM","12","19713","21.8911900982731","1.36819938114207","1.82426584152275","1.51867173221791","0.54541499843612","2.05462111541846","11"
"F3","WT","16","28950","32.1488334269266","2.00930208918292","2.00930208918292","1.79577989310987","0.4947112708865","1.77058149989567","11"
"F4","HOM","13","25539","28.360934607609","1.77255841297556","2.18161035443146","2.75680143024942","0.451675277821045","2.58162325219698","11"
"F5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"F6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"F7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"F8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"11"
"A1","WT","16","29803","33.1238048106436","2.07023780066522","2.07023780066522","1.48248770755598","0.476203994070568","2.17544086896436","13"
"A2","HOM","15","33805","37.5717284039797","2.34823302524873","2.50478189359864","1.64090609806095","0.396803300440367","1.86034365047453","13"
"A3","WT","16","26935","29.9362373779379","1.87101483612112","1.87101483612112","1.42949615936989","0.532461534333742","2.33433376939579","13"
"A4","HOM","16","52752","58.6299013982173","3.66436883738858","3.66436883738858","1.710038516284","0.271454087936324","1.40580016744293","13"
"A5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"A6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
"A8",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13"
