"well","treatment","DIV17","DIV19","DIV21","DIV23","DIV25","DIV27","DIV29","DIV31","DIV33"
"A1","WT","18558","16369","11574","10105","31561","17553","26409","33397","61073"
"A2","Hom","17754","24424","24782","19256","36122","37589","30684","36268","29202"
"A3","WT","34657","57749","40794","15339","86789","36954","51096","33641","13050"
"A4","Hom","25616","21906","23342","25954","48294","39210","27814","46877","35804"
"A5","WT","22838","35076","32452","19241","32677","29627","23349","41640","27842"
"A6","Hom_G","14050","18671","20942","34986","68870","42040","32716","24783","21820"
"A7","WT_G","28603","41172","39637","60450","54551","43438","48326","65093","36760"
"A8","Hom_CTRL","18831","25284","28637","4154","30960","13973","19172","26120","15400"
"B1","Hom","24083","36016","40139","33879","53557","37858","19626","43765","30670"
"B2","WT","19142","35781","30052","24240","71813","63349","46542","77505","65205"
"B3","Hom","21497","22205","17136","17072","19880","29459","23997","18300","14593"
"B4","WT","17616","29070","34686","22425","38518","37015","38773","35470","34019"
"B5","Hom","15158","19662","28552","36866","37628","31782","38196","30336","27243"
"B6","WT_G","14793","8933","10954","28625","34237","40684","30647","37162","24315"
"B7","Hom_G","12773","18564","19479","19858","45348","39132","28681","37099","40512"
"B8","WT_CTRL","25347","40110","9344","8883","25705","11293","26872","11738","16784"
"C1","WT","22926","28882","32223","18629","31618","11064","19725","43044","21976"
"C2","Hom","31374","37835","36705","28452","55114","52648","40062","54772","49730"
"C3","WT","29341","46030","62486","57457","70719","46848","41057","26077","19326"
"C4","Hom","38921","41491","31981","35823","40005","40598","38582","28498","41097"
"C5","WT","34936","55489","54261","48279","73233","32353","36606","50261","61451"
"C6","Hom_G","27201","49177","49641","33298","60954","29147","27063","56166","58949"
"C7","WT_G","24895","68843","22113","9602","45749","16438","25557","25651","29106"
"C8","Hom_CTRL","15565","22025","20711","13790","27086","26892","21397","26835","33906"
"D1","Hom","19866","27757","30055","34541","48830","47729","29780","38726","29407"
"D2","WT","38086","57123","56779","52171","77856","55895","63004","63004","42619"
"D3","Hom","41588","51189","29372","64589","68385","47163","26782","22114","19920"
"D4","WT","63536","86943","97502","52752","77580","31814","37261","52112","71341"
"D5","Hom","28605","38312","34728","30535","48566","46877","38892","35296","39017"
"D6","WT_G","45254","64326","30156","43202","63444","47562","20560","33614","35233"
"D7","Hom_G","38093","54904","28407","52284","79679","47384","31220","47209","26858"
"D8","WT_CTRL","22596","41317","19341","8866","23741","11813","10251","6777","6804"
"E1","WT","12220","24039","20607","21369","20476","24775","26721","32035","23362"
"E2","Hom","32497","33897","27208","39824","36835","42486","21882","32610","34521"
"E3","WT","24249","49809","12911","21091","42109","31707","25606","21466","30339"
"E4","Hom","33840","37600","49036","51394","84703","39983","37231","37200","32292"
"E5","WT","22357","20997","35656","41328","47726","59039","33779","43168","41867"
"E6","Hom_G","13943","30496","23130","21194","85266","23181","10338","18863","18067"
"E7","WT_G","32299","32594","20036","29531","32538","23525","9959","54258","12503"
"E8","Hom_CTRL","12569","18045","25696","17533","22613","18191","19429","27686","28240"
"F1","Hom","11498","12951","10778","16189","8537","11655","12480","10624","20450"
"F2","WT","31194","24116","11152","14012","17606","45729","30545","77689","36109"
"F3","Hom","35069","43034","45518","42989","49644","60630","53730","64610","72129"
"F4","WT","58296","63861","25779","15257","35748","16810","15400","16894","60037"
"F5","Hom","13062","20241","19856","22694","33147","24617","28020","22703","23812"
"F6","WT_G","17631","17089","16776","19222","43369","34479","46547","30006","14481"
"F7","Hom_G","15336","36032","30445","16793","59557","24905","16946","32949","19737"
"F8","WT_CTRL","18252","36563","4658","8508","39862","8328","8134","9662","7863"
